origin,destination,transfer_count,avg_success_delta
Washington State,Wake Forest,8,-0.06672857142857143
Weber State,BYU,5,0.14850000000000002
Weber State,New Mexico,3,-0.07393333333333334
Weber State,San José State,3,-0.12835000000000002
West Virginia,Houston,4,-0.070825
West Virginia,Nevada,3,-0.006666666666666668
West Virginia,Southern Miss,5,-0.0020000000000000005
West Virginia,Virginia Tech,4,-0.003333333333333334
Western Kentucky,Auburn,3,-0.48625000000000007
Western Kentucky,Gardner-Webb,3,-0.08173333333333332
Western Kentucky,Western Kentucky,7,-0.32752857142857145
Western Michigan,Gardner-Webb,3,-0.04666666666666667
Western Michigan,Minnesota,3,-0.5387666666666667
Wisconsin,Cincinnati,3,-0.12243333333333334
Wisconsin,Illinois,3,-0.12416666666666669
Wisconsin,Iowa State,3,0.0
Wisconsin,Michigan State,5,-0.36314
Wisconsin,Sam Houston,3,0.04520000000000001
Wisconsin,UConn,3,0.16506666666666667
Wyoming,Houston,3,-0.5149333333333334
Wyoming,USC,3,-0.04249999999999998
Youngstown State,UAB,3,-0.09499999999999999
